Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime
0.73,0.78,0.75,0.7796610169491526,8601.442985773087,0.7413588927540522,left hemiparesis,delta,Mona Lisa,124.79870676994324
0.74,0.75,0.75,0.7510917030567685,11513.747440576553,0.7505458515283842,right hemiparesis,theta,Mona Lisa,131.0933177471161
0.76,0.83,0.8,0.8298755186721992,10369.538800954819,0.7765449021932423,left hemiparesis,alpha,Mona Lisa,124.14125609397888
0.89,0.86,0.88,0.8646288209606987,11306.394004583359,0.8814669528532307,right hemiparesis,beta,Mona Lisa,126.28026795387268
0.88,0.9,0.89,0.8991596638655462,9363.099784135818,0.8835005367785881,left hemiparesis,gamma,Mona Lisa,127.93299603462219
0.73,0.74,0.74,0.7377049180327869,11770.335954904556,0.7217936354869816,left hemiparesis,delta,Necker cube,127.68148922920227
0.76,0.78,0.77,0.7829787234042553,10216.003825187683,0.7632284921369102,left hemiparesis,theta,Necker cube,124.51517415046692
0.69,0.74,0.72,0.7422222222222222,11673.263724803925,0.7169444444444444,left hemiparesis,alpha,Necker cube,124.49304747581482
0.91,0.89,0.9,0.891213389121339,7148.7506275177,0.899146517569519,left hemiparesis,beta,Necker cube,123.26000785827637
0.91,0.9,0.9,0.8966942148760331,9242.566545963287,0.9012619056442945,left hemiparesis,gamma,Necker cube,122.93993496894836
