Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime
0.71,0.75,0.73,0.7510917030567685,9263.04225730896,0.7272407667826215,left hemiparesis,delta,Mona Lisa,123.39585542678833
0.74,0.79,0.76,0.7854077253218884,9423.574127435684,0.7569280005919787,left hemiparesis,theta,Mona Lisa,131.34933590888977
0.76,0.78,0.77,0.7842323651452282,9219.478432178497,0.7604197540011856,left hemiparesis,alpha,Mona Lisa,130.97247838974
0.86,0.92,0.89,0.9156118143459916,9179.063472032547,0.8810515212080836,left hemiparesis,beta,Mona Lisa,130.35926699638367
0.92,0.88,0.9,0.8761061946902655,9281.97933626175,0.9024882437886473,right hemiparesis,gamma,Mona Lisa,125.56666898727417
0.75,0.76,0.75,0.759493670886076,9188.184760332108,0.7459749056184766,left hemiparesis,delta,Necker cube,125.42835116386414
0.77,0.75,0.76,0.7478632478632479,9247.459941625595,0.7613775113775114,right hemiparesis,theta,Necker cube,127.15922904014587
0.75,0.83,0.79,0.8304347826086956,9156.973559617996,0.7790471785383903,left hemiparesis,alpha,Necker cube,127.39707374572754
0.95,0.89,0.92,0.8942731277533039,9155.312094449997,0.9261281605153074,right hemiparesis,beta,Necker cube,125.41650438308716
0.88,0.93,0.9,0.9295154185022027,9220.693390130997,0.9017324991670678,left hemiparesis,gamma,Necker cube,126.57897925376892
