,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
117,CNN,Mona Lisa,beta,Adamax,0.001,0.001,9,0.967741935483871,0.9032258064516128,0.932258064516129,41.96,2.18,0.9639299057107276
151,Small,Mona Lisa,beta,RMSprop,1e-05,1e-05,24,0.9564516129032258,0.8935483870967742,0.9193548387096774,108.59,2.17,0.9904821206191068
162,Big,Mona Lisa,beta,Adadelta,0.01,0.01,69,0.967741935483871,0.9258064516129032,0.9193548387096774,319.59,2.06,0.9883472691691868
10,Small,Mona Lisa,beta,Adam,1e-05,1.0000000000000002e-06,41,0.9564516129032258,0.9,0.9193548387096774,324.97,3.82,0.9886586016723002
67,Small,Mona Lisa,beta,NAdam,1e-05,1e-05,27,0.9568548387096776,0.9064516129032258,0.9161290322580644,124.04,2.08,0.9894814090019568
75,CNN,Mona Lisa,beta,RMSprop,0.001,0.0001,64,0.967741935483871,0.8935483870967742,0.9129032258064516,298.7,2.14,0.9437377690802348
59,Small,Mona Lisa,beta,Adamax,1e-05,1.0000000000000002e-06,41,0.9657258064516128,0.896774193548387,0.9129032258064516,185.32,2.08,0.9875911759473404
54,Big,Necker cube,beta,Adadelta,0.01,1e-05,100,0.967741935483871,0.9129032258064516,0.9129032258064516,491.37,2.17,0.9830101405443872
31,Small,Necker cube,beta,Adam,1e-05,1.0000000000000002e-06,27,0.9512096774193548,0.9032258064516128,0.9129032258064516,131.74,2.16,0.9822985233944136
196,Big,Mona Lisa,gamma,Adadelta,0.01,0.001,114,0.967741935483871,0.9225806451612903,0.9096774193548388,539.01,2.1,0.9833214730475004
165,Small,Necker cube,beta,NAdam,1e-05,1e-05,47,0.9548387096774194,0.896774193548387,0.9096774193548388,227.23,2.17,0.9826543319694004
127,Small,Necker cube,beta,RMSprop,1e-05,1.0000000000000002e-06,47,0.9548387096774194,0.9,0.9064516129032258,222.46,2.14,0.9811421455257072
91,CNN,Mona Lisa,beta,NAdam,0.001,0.001,2,0.894758064516129,0.8548387096774194,0.9064516129032258,9.53,2.17,0.9367105497242484
23,CNN,Mona Lisa,theta,Adadelta,0.001,0.001,23,0.9661290322580646,0.8806451612903226,0.9064516129032258,112.3,2.31,0.9368884540117416
92,Small,Mona Lisa,theta,RMSprop,1e-05,1e-05,24,0.9568548387096776,0.8741935483870967,0.9064516129032258,112.24,2.15,0.969622842910514
181,Big,Mona Lisa,beta,Adam,0.01,1.0000000000000002e-06,73,0.9483870967741936,0.8838709677419355,0.9064516129032258,332.9,2.08,0.9688000355808576
38,CNN,Mona Lisa,beta,Adagrad,0.001,0.0001,54,0.967741935483871,0.8709677419354839,0.9064516129032258,251.12,2.15,0.9365326454367552
133,Small,Mona Lisa,gamma,RMSprop,1e-05,1.0000000000000002e-07,31,0.9512096774193548,0.9193548387096774,0.9032258064516128,141.55,2.09,0.9809642412382138
71,CNN,Mona Lisa,beta,Adam,0.001,0.001,15,0.9633064516129032,0.9096774193548388,0.9032258064516128,70.15,2.21,0.9332858921900016
124,CNN,Mona Lisa,beta,SGD,0.001,0.001,25,0.9600806451612904,0.8806451612903226,0.9032258064516128,116.09,2.17,0.9331079879025084
121,CNN,Mona Lisa,beta,Adadelta,0.001,0.0001,94,0.967741935483871,0.9,0.9032258064516128,440.83,2.11,0.9338196050524816
49,Small,Mona Lisa,delta,Adam,1e-05,1.0000000000000002e-07,52,0.9608870967741936,0.9,0.9032258064516128,239.59,2.1,0.979896815513254
110,Small,Necker cube,beta,Adamax,1e-05,1e-05,47,0.9616935483870968,0.9096774193548388,0.9032258064516128,223.52,2.16,0.9818537626756804
206,Small,Mona Lisa,gamma,Adam,1e-05,1.0000000000000002e-06,24,0.9495967741935484,0.9096774193548388,0.9032258064516128,110.55,2.1,0.9833659491193738
63,Small,Necker cube,gamma,Adam,1e-05,1.0000000000000002e-07,47,0.9504032258064516,0.8806451612903226,0.9,224.6,2.15,0.9648639032200677
26,CNN,Mona Lisa,theta,SGD,0.001,0.001,27,0.9625,0.8709677419354839,0.9,130.68,2.26,0.9298612346557552
64,Small,Mona Lisa,gamma,NAdam,1e-05,1.0000000000000002e-07,31,0.952016129032258,0.9064516129032258,0.9,144.91,2.1,0.9872131293364168
21,Small,Necker cube,beta,Adagrad,1e-05,1e-05,47,0.9673387096774192,0.8903225806451613,0.9,224.27,2.16,0.9655310442981676
159,CNN,Necker cube,delta,Adadelta,0.001,0.0001,70,0.967741935483871,0.8935483870967742,0.896774193548387,341.82,2.29,0.9280377157089488
