Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime
0.71,0.64,0.67,0.6448979591836734,1482.5525500774384,0.6724489795918367,left hemiparesis,delta,Mona Lisa,121.6366856098175
0.71,0.68,0.7,0.6778242677824268,1135.883083820343,0.6951068241567,left hemiparesis,theta,Mona Lisa,123.41265296936035
0.6,0.63,0.62,0.6282051282051282,1577.8783130645752,0.6063103563103562,left hemiparesis,alpha,Mona Lisa,126.12343692779541
0.86,0.86,0.86,0.8584070796460177,719.5162160396576,0.8622579331284482,right hemiparesis,beta,Mona Lisa,127.30915975570679
0.77,0.8,0.78,0.7964601769911505,919.4889974594116,0.7873514274077091,right hemiparesis,gamma,Mona Lisa,125.56476402282715
0.68,0.71,0.69,0.7081545064377682,2585.707980155945,0.6838186325292288,left hemiparesis,delta,Necker cube,126.15510535240173
0.72,0.7,0.71,0.6963562753036437,2564.4021365642548,0.6945084128811796,left hemiparesis,theta,Necker cube,130.35633397102356
0.74,0.79,0.77,0.7929515418502202,2203.5493891239166,0.766223670084774,left hemiparesis,alpha,Necker cube,126.60877895355225
0.83,0.82,0.83,0.8205128205128205,2852.6974964141846,0.8258408258408259,right hemiparesis,beta,Necker cube,127.8397421836853
0.8,0.81,0.81,0.8111587982832618,887.4553859233856,0.8064414681071481,left hemiparesis,gamma,Necker cube,126.6947648525238
