,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 1125,14.924017483525816,4.5,1174.5407042503357,Adam_delta_Necker cube
1,Feature 923,1.5109491084451758,3.692,1149.7351019382477,Adam_beta_Necker cube
2,Feature 1487,5.706797604165377,5.948,1107.718186378479,Adam_alpha_Mona Lisa
3,Feature 799,-4.78855520598488,3.196,1109.3174715042114,Adam_gamma_Mona Lisa
4,Feature 1073,-4.24732559161942,4.292,1113.7772014141083,Adam_gamma_Necker cube
5,Feature 9883,-5.073265907395486,39.532,1110.2894134521484,Adam_alpha_Necker cube
6,Feature 5206,-2.9974111787930062,20.824,1105.4420824050903,Adam_theta_Necker cube
7,Feature 4098,10.1164673016385,16.392,1105.74472117424,Adam_delta_Mona Lisa
8,Feature 1098,-0.7412039764476177,4.392,1107.9176433086395,Adam_beta_Mona Lisa
9,Feature 1179,-28.89346045449768,4.716,1115.183878660202,Adam_theta_Mona Lisa
