,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 1412,0.07900145086635887,5.648,1141.3089864253998,RMS_theta_Necker cube
1,Feature 1536,12.819618194131873,6.144,1110.1584692001343,RMS_beta_Necker cube
2,Feature 792,1.022032364086363,3.168,1105.3627099990845,RMS_gamma_Mona Lisa
3,Feature 4390,-33.47178773308825,17.56,1106.5427691936493,RMS_delta_Necker cube
4,Feature 3315,4.504717718683379,13.26,1109.0922524929047,RMS_theta_Mona Lisa
5,Feature 996,-0.7134552581691672,3.984,1109.8496506214142,RMS_alpha_Necker cube
6,Feature 943,3.360942138232147,3.772,1108.1357350349426,RMS_gamma_Necker cube
7,Feature 776,18.63251878732955,3.104,1108.2782037258148,RMS_delta_Mona Lisa
8,Feature 3678,-11.698709338881702,14.712,1112.5264987945557,RMS_beta_Mona Lisa
9,Feature 3742,-0.882851005692045,14.968,1111.3711380958557,RMS_alpha_Mona Lisa
