,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 953,3.5471325458841663,3.812,1129.2728922367096,SGD_gamma_Necker cube
1,Feature 943,93.00826740408135,3.772,1105.9670057296753,SGD_delta_Necker cube
2,Feature 1084,-3.6851412592556287,4.336,1106.443374156952,SGD_alpha_Necker cube
3,Feature 1366,9.100629130403146,5.464,1104.4278552532196,SGD_theta_Mona Lisa
4,Feature 949,-2.9998715076489555,3.796,1115.4700694084167,SGD_gamma_Mona Lisa
5,Feature 1167,-20.229162477206096,4.668,1109.0412623882294,SGD_beta_Mona Lisa
6,Feature 1565,-33.84035394596194,6.26,1107.3814690113068,SGD_delta_Mona Lisa
7,Feature 862,10.131962154641009,3.448,1111.7313394546509,SGD_alpha_Mona Lisa
8,Feature 1090,37.24644918164201,4.36,1114.0508153438568,SGD_beta_Necker cube
9,Feature 962,-4.943067041833272,3.848,1100.9543764591217,SGD_theta_Necker cube
