,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time
0,Feature 1018,-3.536325690192231,4.072,1127.4229199886322
1,Feature 1007,3.951075381046053,4.028,1110.8514077663422
2,Feature 997,-0.24454203261903978,3.988,1101.1994533538818
3,Feature 10098,8.599818933437344,40.392,1096.9125001430511
4,Feature 905,-14.679790712237514,3.62,1103.8123047351837
5,Feature 1326,2.173023518543792,5.304,1099.4388635158539
6,Feature 899,-0.09185940901800863,3.596,1098.395112991333
7,Feature 1708,6.13206405029387,6.832,1103.23761677742
8,Feature 5446,686.4476641412336,21.784,1097.5934019088745
9,Feature 873,-7.552925693113619,3.492,1102.5591051578522
