,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 1062,3.1112335301119716,4.248,1163.9250192642212,adadelta_theta_Mona Lisa
1,Feature 921,0.5815540933440474,3.684,1112.306983947754,adadelta_alpha_Mona Lisa
2,Feature 1074,26.35232076651544,4.296,1108.0118534564972,adadelta_delta_Necker cube
3,Feature 1036,7.772388664514717,4.144,1103.4514598846436,adadelta_beta_Mona Lisa
4,Feature 1099,-34.993757839800836,4.396,1108.634946346283,adadelta_beta_Necker cube
5,Feature 1323,1.02849350141225,5.292,1109.7595002651215,adadelta_gamma_Mona Lisa
6,Feature 1028,-19.472389146104007,4.112,1110.1513288021088,adadelta_theta_Necker cube
7,Feature 764,-51.0121958539347,3.056,1109.3907425403595,adadelta_delta_Mona Lisa
8,Feature 1002,3.6951271816897657,4.008,1108.7625107765198,adadelta_alpha_Necker cube
9,Feature 930,22.676802489480558,3.72,1111.252517938614,adadelta_gamma_Necker cube
