,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 974,19.293257313304867,3.896,1130.7551510334015,alpha_Necker cube
1,Feature 1279,-9.766810716805486,5.116,1108.321084022522,alpha_Mona Lisa
2,Feature 1238,2.78043720305304,4.952,1107.7371199131012,delta_Mona Lisa
3,Feature 7494,-1240.172070632794,29.976,1105.1654019355774,theta_Necker cube
4,Feature 9935,120.61425226750046,39.74,1113.3573739528656,delta_Necker cube
5,Feature 838,-3.57241812080677,3.352,1115.8170094490051,gamma_Necker cube
6,Feature 956,16.365260674177602,3.824,1107.4966268539429,beta_Necker cube
7,Feature 2047,-6.462087945927264,8.188,1107.7646362781525,theta_Mona Lisa
8,Feature 917,-0.21165343764312147,3.668,1128.072093486786,gamma_Mona Lisa
9,Feature 1406,1.2971215921959232,5.624,1114.7231829166412,beta_Mona Lisa
