,Top Feature,Top Feature Value,Time for Top Feature,SHAP Time,Name
0,Feature 1027,-2.735252274228577,4.108,1141.8913509845734,adamax_gamma_Necker cube
1,Feature 9878,4.324592238317277,39.512,1108.6583397388458,adamax_theta_Mona Lisa
2,Feature 930,-3.242496965014831,3.72,1109.4001252651215,adamax_theta_Necker cube
3,Feature 956,-2.5558748821162722,3.824,1113.9437777996063,adamax_gamma_Mona Lisa
4,Feature 785,-2.4603282475806765,3.14,1112.104481935501,adamax_delta_Mona Lisa
5,Feature 1157,-140.27044330096868,4.628,1110.7409341335297,adamax_delta_Necker cube
6,Feature 1453,-10.04354663705539,5.812,1109.9383838176727,adamax_beta_Necker cube
7,Feature 3968,-37.14838034930911,15.872,1111.362632036209,adamax_beta_Mona Lisa
8,Feature 986,-12.89745085149516,3.944,1113.8677248954773,adamax_alpha_Mona Lisa
9,Feature 1007,4.586674130949402,4.028,1105.9536390304565,adamax_alpha_Necker cube
