Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
CNN,Mona Lisa,beta,Adamax,0.001,0.001,9,0.967741935483871,0.9032258064516128,0.935483870967742,54.2,1.69,0.9671766589574808
Big,Mona Lisa,gamma,Adadelta,0.01,0.001,115,0.967741935483871,0.9129032258064516,0.9225806451612903,629.04,1.63,0.9875911759473404
CNN,Mona Lisa,beta,Adam,0.001,0.001,25,0.967741935483871,0.9,0.9225806451612903,151.36,1.67,0.9534780288204944
Small,Mona Lisa,beta,NAdam,1e-05,1e-05,27,0.9548387096774194,0.9129032258064516,0.9193548387096774,144.07,1.75,0.988747553816047
CNN,Mona Lisa,beta,Adadelta,0.001,0.001,34,0.927016129032258,0.896774193548387,0.9161290322580644,210.41,1.67,0.9473403309019748
Small,Mona Lisa,beta,Adam,1e-05,1.0000000000000002e-06,41,0.957258064516129,0.896774193548387,0.9161290322580644,208.66,1.85,0.9886141256004268
Big,Necker cube,beta,Adadelta,0.01,0.01,89,0.967741935483871,0.9258064516129032,0.9161290322580644,482.43,1.09,0.9814979541006936
Small,Necker cube,beta,RMSprop,1e-05,1.0000000000000002e-07,47,0.9568548387096776,0.896774193548387,0.9129032258064516,202.58,1.52,0.9813200498132004
Small,Necker cube,beta,Adam,1e-05,1e-05,47,0.9524193548387097,0.896774193548387,0.9129032258064516,214.08,1.5,0.9826543319694006
Small,Necker cube,beta,NAdam,1e-05,1e-05,47,0.9548387096774194,0.9032258064516128,0.9129032258064516,227.49,1.52,0.9830101405443872
Small,Mona Lisa,beta,RMSprop,1e-05,1e-05,27,0.9528225806451612,0.9032258064516128,0.9129032258064516,129.79,1.76,0.9915050702721936
Small,Mona Lisa,beta,Adamax,1e-05,1.0000000000000002e-06,41,0.9653225806451612,0.896774193548387,0.9129032258064516,204.05,1.76,0.987680128091087
CNN,Necker cube,delta,Adadelta,0.001,0.0001,70,0.9673387096774192,0.9,0.9096774193548388,457.14,1.85,0.9410247286959617
CNN,Mona Lisa,theta,Adadelta,0.001,0.001,23,0.966532258064516,0.8741935483870967,0.9064516129032258,148.74,1.78,0.9368884540117416
CNN,Mona Lisa,beta,SGD,0.001,0.001,27,0.964516129032258,0.8935483870967742,0.9064516129032258,159.81,1.71,0.9363547411492616
CNN,Mona Lisa,beta,Adagrad,0.001,0.0001,54,0.967741935483871,0.8709677419354839,0.9064516129032258,321.46,1.7,0.9365326454367552
Big,Mona Lisa,beta,Adadelta,0.01,0.01,84,0.967741935483871,0.9193548387096774,0.9064516129032258,683.37,2.9,0.9872353673723536
CNN,Mona Lisa,theta,SGD,0.001,0.001,27,0.9641129032258065,0.8709677419354839,0.9064516129032258,164.52,1.79,0.9368884540117416
Small,Mona Lisa,gamma,Adam,1e-05,1.0000000000000002e-06,24,0.9495967741935484,0.9064516129032258,0.9064516129032258,123.25,1.78,0.9822540473225404
Small,Necker cube,beta,Adamax,1e-05,1e-05,47,0.9620967741935484,0.9096774193548388,0.9032258064516128,207.19,1.5,0.981764810531934
Small,Mona Lisa,gamma,NAdam,1e-05,1.0000000000000002e-07,31,0.9528225806451612,0.9064516129032258,0.9,166.28,1.78,0.9864347980786338
Small,Mona Lisa,gamma,RMSprop,1e-05,1.0000000000000002e-07,31,0.9524193548387097,0.9193548387096774,0.9,150.54,1.78,0.983010140544387
Small,Necker cube,beta,Adagrad,1e-05,1e-05,47,0.9673387096774192,0.8903225806451613,0.9,197.4,1.48,0.9655310442981676
Small,Necker cube,delta,RMSprop,1e-05,1.0000000000000002e-07,47,0.9528225806451612,0.8709677419354839,0.9,205.71,1.6,0.973625689379114
Small,Necker cube,delta,NAdam,1e-05,1.0000000000000002e-07,58,0.9552419354838708,0.8806451612903226,0.896774193548387,284.83,1.58,0.9741149261697206
Small,Necker cube,delta,Adam,1e-05,1.0000000000000002e-06,78,0.9524193548387097,0.8806451612903226,0.896774193548387,362.05,1.59,0.9794075787226472
Small,Mona Lisa,theta,Adam,1e-05,1e-05,24,0.9528225806451612,0.8709677419354839,0.8935483870967742,124.17,1.8,0.9709126489948408
Small,Necker cube,gamma,Adam,1e-05,1.0000000000000002e-07,47,0.9495967741935484,0.8838709677419355,0.8935483870967742,221.31,1.61,0.9641967621419676
Small,Mona Lisa,gamma,Adamax,1e-05,1.0000000000000002e-06,24,0.9637096774193548,0.9,0.8935483870967742,120.62,1.8,0.9771837751289808
Big,Necker cube,gamma,Adadelta,0.01,1e-05,95,0.967741935483871,0.9,0.8935483870967742,539.54,1.71,0.9721135029354206
Small,Mona Lisa,delta,NAdam,1e-05,1.0000000000000002e-07,78,0.9580645161290322,0.9032258064516128,0.8935483870967742,416.78,1.79,0.9789183419320406
Big,Mona Lisa,beta,Adam,0.01,0.001,31,0.9508064516129032,0.8870967741935484,0.8935483870967742,232.88,2.92,0.9591709660202812
CNN,Necker cube,beta,NAdam,0.001,0.001,14,0.966532258064516,0.9161290322580644,0.8903225806451613,90.19,1.81,0.9197651663405088
CNN,Mona Lisa,beta,RMSprop,0.001,0.001,30,0.9673387096774192,0.8903225806451613,0.8903225806451613,179.53,1.68,0.9202988792029888
Small,Mona Lisa,beta,Adagrad,1e-05,1.0000000000000002e-06,41,0.9669354838709676,0.8870967741935484,0.8870967741935484,196.72,1.85,0.9775395837039672
CNN,Necker cube,beta,Adagrad,0.001,0.001,18,0.9661290322580646,0.8935483870967742,0.8870967741935484,114.2,1.83,0.9163405088062624
Big,Necker cube,beta,Adamax,0.01,0.0001,37,0.9524193548387097,0.8806451612903226,0.8870967741935484,183.26,1.79,0.9542785981142146
Big,Mona Lisa,beta,Adagrad,0.01,0.01,19,0.9407258064516127,0.9,0.8870967741935484,139.09,2.87,0.9447162426614482
Small,Necker cube,gamma,RMSprop,1e-05,1.0000000000000004e-08,47,0.947983870967742,0.8806451612903226,0.8870967741935484,208.72,1.6,0.9605497242483544
Small,Mona Lisa,theta,RMSprop,1e-05,1.0000000000000002e-06,27,0.9641129032258065,0.8580645161290322,0.8870967741935484,131.52,1.96,0.9668653264543676
CNN,Necker cube,beta,Adamax,0.001,0.001,9,0.9637096774193548,0.9,0.8838709677419355,57.2,1.83,0.913093755559509
Small,Mona Lisa,theta,NAdam,1e-05,1.0000000000000002e-07,41,0.9625,0.8483870967741935,0.8838709677419355,222.0,1.8,0.9661981853762676
Big,Necker cube,beta,Adagrad,0.01,0.0001,56,0.9625,0.8935483870967742,0.8838709677419355,266.96,1.67,0.9575698274328412
Small,Mona Lisa,theta,Adamax,1e-05,1e-05,24,0.9620967741935484,0.8451612903225807,0.8838709677419355,121.2,1.8,0.9585927770859276
Small,Mona Lisa,gamma,SGD,1e-05,1.0000000000000002e-06,73,0.9629032258064516,0.9,0.8838709677419355,311.76,1.76,0.9672656111012276
Small,Necker cube,gamma,NAdam,1e-05,1.0000000000000002e-07,47,0.952016129032258,0.8806451612903226,0.8838709677419355,233.21,1.6,0.964374666429461
Big,Mona Lisa,gamma,Adagrad,0.01,0.001,24,0.9536290322580644,0.9,0.8838709677419355,110.09,1.62,0.9431595801458816
Small,Mona Lisa,alpha,Adamax,1e-05,1.0000000000000002e-06,52,0.9661290322580646,0.8903225806451613,0.8838709677419355,374.53,2.81,0.9659313289450276
Big,Mona Lisa,gamma,Adam,0.01,0.001,35,0.9451612903225808,0.9,0.8838709677419355,172.47,1.63,0.961305817470201
