Model,Accuracy,Precision,Recall,F1-Score,Specificity,Sensitivity,Cohen_Kappa,ROC_AUC,Training_Time,Most_Efficient_Class,signal_fiq,dataset,PreProcesstime
Random Forest,0.759656652360515,0.7927927927927928,0.7272727272727273,0.7586206896551724,0.7946428571428571,0.7272727272727273,0.5201882768257704,0.835965171192444,3.2340121269226074,left hemiparesis,delta,Mona Lisa,50.29229712486267
SVM (RBF),0.5278969957081545,0.569620253164557,0.371900826446281,0.45,0.6964285714285714,0.371900826446281,0.06738956407830587,0.6109799291617474,54.1627254486084,left hemiparesis,delta,Mona Lisa,50.29229712486267
SVM (Linear),0.7253218884120172,0.7522123893805309,0.7024793388429752,0.7264957264957265,0.75,0.7024793388429752,0.4512805416544009,0.8170749704840614,24.69003462791443,right hemiparesis,delta,Mona Lisa,50.29229712486267
Logistic Regression,0.7510729613733905,0.7787610619469026,0.7272727272727273,0.752136752136752,0.7767857142857143,0.7272727272727273,0.5027229908743008,0.8371458087367178,21.759172439575195,right hemiparesis,delta,Mona Lisa,50.29229712486267
Decision Tree,0.5708154506437768,0.5882352941176471,0.5785123966942148,0.5833333333333334,0.5625,0.5785123966942148,0.14091881129710204,0.5705061983471074,14.009869575500488,right hemiparesis,delta,Mona Lisa,50.29229712486267
KNN,0.5793991416309013,0.6036036036036037,0.5537190082644629,0.5775862068965517,0.6071428571428571,0.5537190082644629,0.1603294844450982,0.609245867768595,0.7211880683898926,left hemiparesis,delta,Mona Lisa,50.29229712486267
Naive Bayes,0.4721030042918455,0.46875,0.12396694214876033,0.19607843137254902,0.8482142857142857,0.12396694214876033,-0.02702024726751473,0.434991145218418,0.7888360023498535,left hemiparesis,delta,Mona Lisa,50.29229712486267
Deep Learning (Neural Network),0.7081545064377682,0.7676767676767676,0.628099173553719,0.6909090909090909,0.7946428571428571,0.628099173553719,0.41967621419676215,0.7782615112160566,306.89751052856445,left hemiparesis,delta,Mona Lisa,50.29229712486267
Random Forest,0.7467811158798283,0.7924528301886793,0.6942148760330579,0.7400881057268722,0.8035714285714286,0.6942148760330579,0.4953192114247953,0.8076667650531286,3.283703565597534,left hemiparesis,theta,Mona Lisa,47.36446166038513
SVM (RBF),0.7296137339055794,0.7230769230769231,0.7768595041322314,0.7490039840637449,0.6785714285714286,0.7768595041322314,0.4567960626133294,0.786525974025974,53.776668071746826,right hemiparesis,theta,Mona Lisa,47.36446166038513
SVM (Linear),0.7510729613733905,0.8058252427184466,0.6859504132231405,0.7410714285714286,0.8214285714285714,0.6859504132231405,0.5043644098877722,0.8033869539551358,21.26460909843445,left hemiparesis,theta,Mona Lisa,47.36446166038513
Logistic Regression,0.759656652360515,0.8095238095238095,0.7024793388429752,0.7522123893805311,0.8214285714285714,0.7024793388429752,0.5211391661773341,0.8089580873671782,14.153494596481323,left hemiparesis,theta,Mona Lisa,47.36446166038513
Decision Tree,0.6866952789699571,0.6935483870967742,0.7107438016528925,0.7020408163265306,0.6607142857142857,0.7107438016528925,0.37182848912361044,0.6857290436835891,15.849847555160522,right hemiparesis,theta,Mona Lisa,47.36446166038513
KNN,0.6566523605150214,0.664,0.6859504132231405,0.6747967479674797,0.625,0.6859504132231405,0.3113639722181174,0.703254132231405,0.6701521873474121,right hemiparesis,theta,Mona Lisa,47.36446166038513
Naive Bayes,0.5407725321888412,0.54375,0.71900826446281,0.6192170818505338,0.3482142857142857,0.71900826446281,0.06810451164355402,0.5339064344746163,0.6789658069610596,right hemiparesis,theta,Mona Lisa,47.36446166038513
Deep Learning (Neural Network),0.7167381974248928,0.7165354330708661,0.7520661157024794,0.7338709677419355,0.6785714285714286,0.7520661157024794,0.4314972273567468,0.7899940968122786,304.3033754825592,right hemiparesis,theta,Mona Lisa,47.36446166038513
Random Forest,0.7424892703862661,0.801980198019802,0.6694214876033058,0.7297297297297298,0.8214285714285714,0.6694214876033058,0.48761178712798703,0.8341573199527744,3.143345832824707,left hemiparesis,alpha,Mona Lisa,46.94034433364868
SVM (RBF),0.7167381974248928,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7053571428571429,0.7272727272727273,0.4326298701298701,0.7656803423848878,53.155046463012695,right hemiparesis,alpha,Mona Lisa,46.94034433364868
SVM (Linear),0.6995708154506438,0.7007874015748031,0.7355371900826446,0.7177419354838708,0.6607142857142857,0.7355371900826446,0.3970425138632163,0.7592606257378984,20.93994140625,right hemiparesis,alpha,Mona Lisa,46.94034433364868
Logistic Regression,0.7253218884120172,0.728,0.7520661157024794,0.7398373983739837,0.6964285714285714,0.7520661157024794,0.4490911777744939,0.7736865407319953,9.027908563613892,right hemiparesis,alpha,Mona Lisa,46.94034433364868
Decision Tree,0.6738197424892703,0.6991150442477876,0.6528925619834711,0.6752136752136753,0.6964285714285714,0.6528925619834711,0.34839564321460115,0.6746605667060213,14.2427237033844,right hemiparesis,alpha,Mona Lisa,46.94034433364868
KNN,0.6394849785407726,0.6370370370370371,0.7107438016528925,0.6718749999999999,0.5625,0.7107438016528925,0.2745199792423455,0.6898612750885478,0.6646256446838379,right hemiparesis,alpha,Mona Lisa,46.94034433364868
Naive Bayes,0.5150214592274678,0.527027027027027,0.6446280991735537,0.5799256505576208,0.375,0.6446280991735537,0.019805666207512784,0.5088547815820543,0.6618869304656982,right hemiparesis,alpha,Mona Lisa,46.94034433364868
Deep Learning (Neural Network),0.6781115879828327,0.73,0.6033057851239669,0.6606334841628959,0.7589285714285714,0.6033057851239669,0.359725937053457,0.7199675324675323,292.20287799835205,left hemiparesis,alpha,Mona Lisa,46.94034433364868
Random Forest,0.8240343347639485,0.8773584905660378,0.768595041322314,0.8193832599118943,0.8839285714285714,0.768595041322314,0.6492896214985866,0.909017119244392,3.052593231201172,left hemiparesis,beta,Mona Lisa,47.16241240501404
SVM (RBF),0.8969957081545065,0.9217391304347826,0.8760330578512396,0.8983050847457628,0.9196428571428571,0.8760330578512396,0.7940938213417778,0.9586776859504132,51.7551703453064,right hemiparesis,beta,Mona Lisa,47.16241240501404
SVM (Linear),0.9227467811158798,0.9186991869918699,0.9338842975206612,0.9262295081967213,0.9107142857142857,0.9338842975206612,0.8451598611828989,0.9508559622195984,25.3225314617157,right hemiparesis,beta,Mona Lisa,47.16241240501404
Logistic Regression,0.927038626609442,0.9193548387096774,0.9421487603305785,0.9306122448979591,0.9107142857142857,0.9421487603305785,0.853713483768512,0.9582349468713105,2.6621768474578857,right hemiparesis,beta,Mona Lisa,47.16241240501404
