Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime,optimizers
0.66,0.66,0.66,0.6592920353982301,16431.093522548676,0.6664661013811234,right hemiparesis,delta,Mona Lisa,127.37758994102478,adadelta
0.7,0.74,0.72,0.7416666666666667,16428.131684303284,0.6997222222222224,left hemiparesis,theta,Mona Lisa,123.45582246780396,adadelta
0.73,0.71,0.72,0.7074235807860262,16419.17516565323,0.7287117903930131,right hemiparesis,alpha,Mona Lisa,123.21743035316467,adadelta
0.76,0.74,0.75,0.7446808510638298,16421.34987640381,0.7549491211840889,right hemiparesis,beta,Mona Lisa,126.80321335792542,adadelta
0.86,0.8,0.83,0.7975708502024291,16410.782044649124,0.8230973517067192,left hemiparesis,gamma,Mona Lisa,127.77602028846741,adadelta
0.69,0.67,0.68,0.6724137931034483,16424.5378139019,0.685992304277046,right hemiparesis,delta,Necker cube,128.49289631843567,adadelta
0.72,0.76,0.74,0.7629310344827587,16414.664189100266,0.7333968477134823,left hemiparesis,theta,Necker cube,129.68674159049988,adadelta
0.73,0.71,0.72,0.712,16410.569398641586,0.7048372093023255,left hemiparesis,alpha,Necker cube,125.27521920204163,adadelta
0.73,0.74,0.74,0.740909090909091,16428.33823990822,0.7500463821892394,right hemiparesis,beta,Necker cube,130.28058409690857,adadelta
0.81,0.81,0.81,0.808695652173913,16417.417940855026,0.8107308048103608,right hemiparesis,gamma,Necker cube,131.90536952018738,adadelta
0.78,0.83,0.8,0.8298755186721992,12133.380272388458,0.7877056164789566,left hemiparesis,delta,Mona Lisa,130.0914385318756,adamax
0.78,0.83,0.8,0.8289473684210527,10138.270087957382,0.800549633577615,left hemiparesis,theta,Mona Lisa,127.10607433319092,adamax
0.81,0.86,0.83,0.8558558558558559,11473.005977869034,0.8373929485040597,right hemiparesis,alpha,Mona Lisa,126.36683988571167,adamax
0.89,0.88,0.89,0.8841201716738197,11469.780490875244,0.8860256030782893,right hemiparesis,beta,Mona Lisa,130.07770776748657,adamax
0.88,0.87,0.88,0.8717948717948718,7300.076426744461,0.8752913752913754,left hemiparesis,gamma,Mona Lisa,127.0063750743866,adamax
0.81,0.82,0.81,0.819327731092437,12256.47279381752,0.8083422796431348,left hemiparesis,delta,Necker cube,128.08997631072998,adamax
0.8,0.84,0.82,0.8371040723981901,12066.482954740524,0.8263389214449968,right hemiparesis,theta,Necker cube,127.5258297920227,adamax
0.78,0.86,0.82,0.8625,12039.878286361694,0.8045833333333333,left hemiparesis,alpha,Necker cube,125.71839261054993,adamax
0.93,0.91,0.92,0.9142857142857143,10581.871597290039,0.9162337662337662,left hemiparesis,beta,Necker cube,129.96337461471558,adamax
0.89,0.92,0.9,0.9173553719008265,9766.399122714996,0.8981395693584849,left hemiparesis,gamma,Necker cube,126.7434024810791,adamax
