Precision,Recall,F1-Score,Specificity,Time,ROC AUC,Most Efficient Class,signal_fiq,dataset,PreProcesstime
0.78,0.76,0.77,0.7586206896551724,5589.600248336792,0.7698682847417493,right hemiparesis,delta,Mona Lisa,128.18807578086853
0.8,0.8,0.8,0.8049792531120332,5381.140298604965,0.7953467694131595,left hemiparesis,theta,Mona Lisa,130.0904245376587
0.76,0.78,0.77,0.7782426778242678,4410.455388069153,0.7585903654608065,left hemiparesis,alpha,Mona Lisa,129.99932289123535
0.9,0.86,0.88,0.8629032258064516,6954.03248333931,0.8738479262672811,left hemiparesis,beta,Mona Lisa,122.98439359664917
0.88,0.87,0.87,0.8652173913043478,3900.1368770599365,0.8772895467160038,right hemiparesis,gamma,Mona Lisa,123.60847306251526
0.78,0.82,0.8,0.8242677824267782,5061.869129180908,0.7926648646647165,left hemiparesis,delta,Necker cube,123.07147026062012
0.8,0.75,0.78,0.7521739130434782,3480.9997658729553,0.7845975948196114,right hemiparesis,theta,Necker cube,122.6042160987854
0.77,0.81,0.79,0.813953488372093,6548.230161905289,0.8029767441860466,right hemiparesis,alpha,Necker cube,123.39755344390869
0.9,0.86,0.88,0.8616600790513834,6604.581390142441,0.8718677753747482,left hemiparesis,beta,Necker cube,125.2266595363617
0.87,0.91,0.89,0.9051724137931034,5092.515796422958,0.8860626017463371,left hemiparesis,gamma,Necker cube,124.84686660766602
